Name,Amount,Category,Created
Oil Pan Change,30,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"May 2, 2024 5:20 PM"
Shit Paint Job,100,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"May 7, 2024 3:48 PM"
APR Intake,780,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"May 9, 2024 5:04 PM"
Resonator Delete VAG Sport,120,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"May 14, 2024 10:10 AM"
Exhaust install,230,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"May 21, 2024 3:19 PM"
Aligment,100,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"May 21, 2024 3:19 PM"
Distronic adaptation,200,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"May 21, 2024 3:19 PM"
Ali Key Fob and Battery Cover,28,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"May 22, 2024 5:47 PM"
Unitronic License Transfer,270,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"June 9, 2024 10:14 PM"
Uniconnect+ Cable,370,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"June 13, 2024 10:51 AM"
ECU Stage 2,183,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"June 25, 2024 9:58 AM"
"TCU Stage 2 ",280,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"June 25, 2024 7:05 PM"
Door Trim Cover,87,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"July 8, 2024 4:12 PM"
Bonnet Rope,45,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"July 8, 2024 4:17 PM"
Engine Oil Reserve,23,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"July 25, 2024 11:40 AM"
Coolant Tank + Hose,69,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"July 30, 2024 1:58 PM"
Water Pump + Thermostat,370,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"August 8, 2024 3:59 PM"
Coolant,23,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"August 20, 2024 11:16 AM"
Haldex Service,170,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"August 26, 2024 3:47 PM"
Wheels,1650,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"September 19, 2024 10:50 AM"
Tyres,650,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"September 19, 2024 10:51 AM"
R Led Tailights,400,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"September 24, 2024 11:28 AM"
Wiper Washer Pump,15,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"October 16, 2024 9:35 PM"
Brembo Rear Brake Pads,95,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"October 16, 2024 9:35 PM"
Brembo Rear Brake Discs,340,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"October 16, 2024 9:35 PM"
17 Winter Rims,-730,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"October 24, 2024 12:08 PM"
Technical Check,170,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"February 9, 2025 9:26 PM"
painting job,2200,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 19, 2025 10:54 AM"
window + trim,150,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"May 29, 2025 10:19 AM"
spacers,-220,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"June 17, 2025 10:26 AM"
Year Tax,124,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"October 14, 2025 1:36 PM"
Sold,-49000,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"October 14, 2025 1:37 PM"
